E043DB;Shenzhen ViewAt Technology Co.;
2405F5;Integrated Device Technology (Malaysia) Sdn. Bhd.;
3CD92B;Hewlett Packard;
9C8E99;Hewlett Packard;
B499BA;Hewlett Packard;
1CC1DE;Hewlett Packard;
3C3556;Cognitec Systems GmbH;
0050BA;D-Link Corporation;
00179A;D-Link Corporation;
1CBDB9;D-Link International;
9094E4;D-Link International;
28107B;D-Link International;
1C7EE5;D-Link International;
C4A81D;D-Link International;
18622C;Sagemcom Broadband SAS;
7C03D8;Sagemcom Broadband SAS;
E8F1B0;Sagemcom Broadband SAS;
00F871;DGS Denmark A/S;
20BB76;COL GIOVANNI PAOLO SpA;
2C228B;CTR SRL;
348AAE;Sagemcom Broadband SAS;
BCEC23;SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.;
AC06C7;ServerNet S.r.l.;
CC46D6;Cisco Systems;
48AD08;HUAWEI TECHNOLOGIES CO.;
2CAB00;HUAWEI TECHNOLOGIES CO.;
00E0FC;HUAWEI TECHNOLOGIES CO.;
24DF6A;HUAWEI TECHNOLOGIES CO.;
009ACD;HUAWEI TECHNOLOGIES CO.;
38F23E;Microsoft Mobile Oy;
58AC78;Cisco Systems;
907F61;Chicony Electronics Co.;
28BC18;SourcingOverseas Co. Ltd;
807ABF;HTC Corporation;
409F87;Jide Technology (Hong Kong) Limited;
3C5AB4;Google;
001A11;Google;
D83C69;Shenzhen TINNO Mobile Technology Corp.;
74AC5F;Qiku Internet Network Scientific (Shenzhen) Co.;
BC83A7;SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.;
000347;Intel Corporation;
001175;Intel Corporation;
0013E8;Intel Corporate;
001302;Intel Corporate;
E4F89C;Intel Corporate;
A402B9;Intel Corporate;
4C3488;Intel Corporate;
000D0B;BUFFALO.INC;
000740;BUFFALO.INC;
0024A5;BUFFALO.INC;
DCFB02;BUFFALO.INC;
F4CE46;Hewlett Packard;
001CC4;Hewlett Packard;
0025B3;Hewlett Packard;
001871;Hewlett Packard;
000BCD;Hewlett Packard;
000E7F;Hewlett Packard;
000F20;Hewlett Packard;
00110A;Hewlett Packard;
001321;Hewlett Packard;
001635;Hewlett Packard;
0017A4;Hewlett Packard;
000802;Hewlett Packard;
90E7C4;HTC Corporation;
74A78E;zte corporation;
D860B0;bioMérieux Italia S.p.A.;
8038BC;HUAWEI TECHNOLOGIES CO.;
D440F0;HUAWEI TECHNOLOGIES CO.;
64A651;HUAWEI TECHNOLOGIES CO.;
E8CD2D;HUAWEI TECHNOLOGIES CO.;
ACE215;HUAWEI TECHNOLOGIES CO.;
EC233D;HUAWEI TECHNOLOGIES CO.;
78F5FD;HUAWEI TECHNOLOGIES CO.;
80B686;HUAWEI TECHNOLOGIES CO.;
10C61F;HUAWEI TECHNOLOGIES CO.;
8853D4;HUAWEI TECHNOLOGIES CO.;
0C37DC;HUAWEI TECHNOLOGIES CO.;
BC7670;HUAWEI TECHNOLOGIES CO.;
24DBAC;HUAWEI TECHNOLOGIES CO.;
0021E8;Murata Manufacturing Co.;
006057;Murata Manufacturing Co.;
0007D8;Hitron Technologies. Inc;
84742A;zte corporation;
681AB2;zte corporation;
E005C5;TP-LINK TECHNOLOGIES CO.;
A0F3C1;TP-LINK TECHNOLOGIES CO.;
8C210A;TP-LINK TECHNOLOGIES CO.;
EC172F;TP-LINK TECHNOLOGIES CO.;
EC888F;TP-LINK TECHNOLOGIES CO.;
14CF92;TP-LINK TECHNOLOGIES CO.;
645601;TP-LINK TECHNOLOGIES CO.;
14CC20;TP-LINK TECHNOLOGIES CO.;
BC4699;TP-LINK TECHNOLOGIES CO.;
0C45BA;HUAWEI TECHNOLOGIES CO.;
847778;Cochlear Limited;
0453D5;Sysorex Global Holdings;
CCA223;HUAWEI TECHNOLOGIES CO.;
E8088B;HUAWEI TECHNOLOGIES CO.;
60E701;HUAWEI TECHNOLOGIES CO.;
000883;Hewlett Packard;
C4346B;Hewlett Packard;
8CDCD4;Hewlett Packard;
3464A9;Hewlett Packard;
D4C9EF;Hewlett Packard;
A45D36;Hewlett Packard;
A0D3C1;Hewlett Packard;
40A8F0;Hewlett Packard;
6C3BE5;Hewlett Packard;
082E5F;Hewlett Packard;
28924A;Hewlett Packard;
10604B;Hewlett Packard;
308D99;Hewlett Packard;
0030C1;Hewlett Packard;
FC3FDB;Hewlett Packard;
4CA161;Rain Bird Corporation;
7C6193;HTC Corporation;
001217;Cisco-Linksys;
000C41;Cisco-Linksys;
000F66;Cisco-Linksys;
44E08E;Cisco SPVTG;
185933;Cisco SPVTG;
E448C7;Cisco SPVTG;
24767D;Cisco SPVTG;
2CABA4;Cisco SPVTG;
006B8E;Shanghai Feixun Communication Co.;
AC853D;HUAWEI TECHNOLOGIES CO.;
74882A;HUAWEI TECHNOLOGIES CO.;
78D752;HUAWEI TECHNOLOGIES CO.;
E0247F;HUAWEI TECHNOLOGIES CO.;
00464B;HUAWEI TECHNOLOGIES CO.;
707BE8;HUAWEI TECHNOLOGIES CO.;
548998;HUAWEI TECHNOLOGIES CO.;
0819A6;HUAWEI TECHNOLOGIES CO.;
